,year,smart_institution5,count
56,2016,Faculty Of Medicine,1
2031,2023,Faculty Of Medicine,1
1779,2022,Faculty Of Medical Sciences,1
887,2019,Faculty Of Health Sciences,1
1537,2021,Erie County Medical Center,1
2030,2023,Erie County Medical Center,1
1536,2021,Epsom And St Helier University Hospitals Nhs Trust,1
2029,2023,Envision Healthcare,1
1212,2020,Emergency & Critical Care Medicine,1
1211,2020,Elmhurst Hospital Center,1
1210,2020,Elective Medical Student,1
2027,2023,Einstein Medical Center Philadelphia,1
1209,2020,Einstein Healthcare Network,1
2026,2023,Edward Via College Of Osteopathic Medicine,1
591,2018,Eastern Virginia Medical School,1
1777,2022,Eastern Virginia Medical School,1
295,2017,Eastern Hepatobiliary Surgery Hospital,1
589,2018,East Texas Medical Center,1
1207,2020,East Tennessee State University,1
1534,2021,East Tennessee State University,1
294,2017,East Hospital,1
587,2018,East Carolina University Brody School Of Medicine,1
883,2019,East Carolina University,1
292,2017,Durham Veterans Affairs Medical Center,1
290,2017,Drexel University/Hahnemann University Hospital,1
585,2018,Drexel University/Hahnemann University Hospital,1
1531,2021,Drexel University College Of Medicine,1
1530,2021,Dow University Of Health Sciences,1
2021,2023,Dow University Of Health Sciences,1
1773,2022,Donald & Barbara Zucker School Of Medicine At Hofstra/Northwell,1
2019,2023,Donald & Barbara Zucker School Of Medicine At Hofstra/Northwell,1
2018,2023,Divisions Of Pediatric Surgery And Surgical Research,1
583,2018,Division Of Child And Adolescent Health,1
2017,2023,Division Of Cardiac Surgery,1
1772,2022,Digestive Health Institute,1
2016,2023,Digestive Health Institute,1
879,2019,Derby Hospitals Nhs Foundation Trust,1
48,2016,Dept. Of Otorhinolaryngology,1
582,2018,Department Of Surgery,1
1529,2021,Department Of Surgery,1
1771,2022,Department Of Surgery,1
2014,2023,Department Of Surgery,1
1202,2020,Department Of Plastic And Reconstructive Surgery,1
1770,2022,Department Of Plastic And Reconstructive Surgery,1
1528,2021,Department Of Hepatobiliary Surgery And Institute Of Advanced Surgical Technology And Engineering,1
47,2016,Department Of Epidemiology,1
2013,2023,Denver Health Medical Center,1
2012,2023,Denis And Lenora Foretia Foundation,1
2011,2023,Delray Medical Center,1
2010,2023,Dayanand Medical College & Hospital,1
287,2017,Dartmouth Hitchcock Medical Center,1
44,2016,Dana Farber Cancer Insititute,1
43,2016,Dalhousie University,1
2008,2023,Cuny School Of Medicine,1
1524,2021,Crozer Chester Medical Center,1
42,2016,Crown Princess Mary Cancer Centre,1
2006,2023,Creighton University Medical Center,1
874,2019,Cooper University Hospital,1
1767,2022,Cooper University Hospital,1
873,2019,Cook County Health,1
1766,2022,Cook County Health,1
872,2019,Concord Repatriation General Hospital,1
1522,2021,Concord Repatriation General Hospital,1
1198,2020,Compaeros En Salud,1
1521,2021,Compaeros En Salud,1
284,2017,Columbia University Irving Medical Center,1
576,2018,Columbia University Irving Medical Center,1
870,2019,Cohen Children'S Medical Center At Northwell Health,1
1196,2020,Cohen Children'S Medical Center At Northwell Health,1
41,2016,Cohen Children'S Medical Center,1
575,2018,Cohen Children'S Medical Center,1
869,2019,Cohen Children'S Medical Center,1
1195,2020,Cohen Children'S Medical Center,1
283,2017,Cmc Hospital,1
574,2018,Cleveland Clinic,1
1764,2022,City Of Hope National Medical Center,1
2001,2023,City Of Hope National Medical Center,1
572,2018,Cincinnati Childrens'S Hospital Medical Center,1
571,2018,Cincinnati Childrens Hospital And Medical Center,1
1192,2020,Cincinnati Children'S Hospital Medical Center (Cchmc),1
1518,2021,Cincinnati Children'S Hospital Medical Center,1
1763,2022,Cincinnati Children'S Hospital Medical Center,1
280,2017,Cinch Valley Medical Center,1
279,2017,Christian Medical College,1
865,2019,Chittagong Medical College Hospital,1
1517,2021,Children'S Of Alabama,1
1762,2022,Children'S Of Alabama,1
37,2016,Children'S National Hospital,1
36,2016,Children'S National Health System,1
277,2017,Children'S Mercy Hospital- University Of Missouri Kansas City,1
1998,2023,Children'S Mercy Hospital- University Of Missouri Kansas City,1
33,2016,Children'S Mercy Hospital,1
567,2018,Children'S Memorial Hermann Hospital,1
863,2019,Children'S Memorial Hermann Hospital,1
276,2017,Children'S Medical Center Dallas,1
31,2016,Children'S Medical Center,1
275,2017,Children'S Medical Center,1
566,2018,Children'S Medical Center,1
861,2019,Children'S Hospital Of Wisconsin,1
1513,2021,Children'S Hospital Of Pittsburgh Of Upmc,1
1759,2022,Children'S Hospital Of Pittsburgh Of Upmc,1
1997,2023,Children'S Hospital Of Pittsburgh Of Upmc,1
1512,2021,Children'S Hospital Of Philadelphia,1
1758,2022,Children'S Hospital Of Philadelphia,1
1996,2023,Children'S Hospital Of Philadelphia,1
565,2018,Children'S Hospital Of Michigan,1
29,2016,Children'S Hospital Los Angeles/The Saban Research Institute,1
1510,2021,Children'S Hospital Colorado,1
26,2016,Children'S Hospital Boston,1
1508,2021,Children'S Hospital At Oklahoma University Medicine,1
1185,2020,Children'S Health,1
1184,2020,Children Mercy'S Hospital,1
1507,2021,Children Hospital Of Illinois / Osf Saint Francis Medical Center,1
1992,2023,Children Hospital Of Illinois / Osf Saint Francis Medical Center,1
859,2019,Chicago Medical School At Rosalind Franklin University,1
858,2019,Chicago Medical School - Rosalind Franklin University Of Medicine And Science,1
1506,2021,Chicago Medical School - Rosalind Franklin University Of Medicine And Science,1
25,2016,Cheikh Anta Diop University,1
24,2016,Chang Gung Memorial Hospital,1
1183,2020,Chandler Regional Medical Center,1
23,2016,Centro Mtdico Abc,1
1991,2023,Centre Hospitalier De L'Universit De Montral,1
22,2016,Centre For Research On The Epidemiology Of Disasters -  Universitt Catholique De Louvain,1
1990,2023,Centre For Biomedical Technologies,1
1989,2023,Central Michigan University College Of Medicine,1
1755,2022,Center Of Advanced Surgical Oncology,1
21,2016,Center For Translational Injury Research,1
1181,2020,Center For Translational Injury Research,1
271,2017,Center For Surgery And Public Health,1
855,2019,Center For Perinatal Research,1
1987,2023,Center For Innovations In Quality,1
1754,2022,Center For Healthcare Outcomes & Policy (Chop),1
560,2018,Center For Global Surgical Studies,1
1180,2020,Center For Fetal Cellular And Molecular Therapy,1
1504,2021,Center For Fetal Cellular And Molecular Therapy,1
1179,2020,Center For Fetal And Placental Research,1
1753,2022,Cedars-Sinai Medical Center,1
558,2018,Case Western Reserve University School Of Medicine,1
1752,2022,Case Western Reserve University School Of Medicine,1
1501,2021,Carolinas Medical Center,1
1750,2022,Carnegie Mellon University,1
1500,2021,Carle Foundation Hospital,1
1983,2023,Carilion Clinic,1
851,2019,Cardinal Glennon Childrens Medical Center,1
1173,2020,Cardinal Glennon Childrens Medical Center,1
1172,2020,Cancer Institute Hospital,1
1499,2021,California Northstate Unversity,1
850,2019,California Northstate University College Of Medicine,1
1982,2023,California Northstate University,1
556,2018,C.S.Mott Children'S Hospital,1
267,2017,C.S. Mott Children'S Hospital,1
1981,2023,Burnett School Of Medicine At Tcu,1
1497,2021,Brown University School Of Medicine,1
1749,2022,Brown University School Of Medicine,1
848,2019,Broward Health Medical Center,1
1748,2022,Broward Health Medical Center,1
553,2018,Brookwood Baptist Health System,1
1747,2022,Brookwood Baptist Health System,1
1495,2021,Brooklyn Hospital Center,1
1168,2020,Brooke Army Medical Center,1
16,2016,Bronx- Lebanon Hospital Center,1
1167,2020,Bronx Care (Lebanon) Hospital,1
1977,2023,Brigham Young University,1
551,2018,Brandon Regional Hospital,1
550,2018,Brandenburg Medical School,1
13,2016,Boston Children'S Hospital,1
263,2017,Boston Children'S Hospital,1
548,2018,Boston Children'S Hospital,1
844,2019,Boston Children'S Hospital,1
1974,2023,Boston Children'S Hospital,1
262,2017,Birmingham Veteran'S Affairs Medical Center,1
843,2019,Birmingham Veteran'S Affairs Medical Center,1
547,2018,Birmingham Va Medical Center,1
261,2017,Bidmc,1
1973,2023,Bethany Kids At Aic Kijabe Hospital,1
1744,2022,Beth Israel Lahey Hospital,1
11,2016,Beaumont Health System,1
545,2018,Beaumont Health System,1
1489,2021,Beaumont Health System,1
1742,2022,Beaumont Health System,1
1971,2023,Beaumont Health System,1
841,2019,Baystate Medical Center,1
840,2019,Baylor Scott & White Medical Center-Temple,1
1160,2020,Baylor Scott & White Health,1
10,2016,Baylor College Of Medicine & Texas Children'S Hospital,1
1968,2023,Bassett Medical Center,1
8,2016,Banner University Medical Center- Phoenix,1
542,2018,Banner University Medical Center - Tucson - Banner Health,1
256,2017,Banner Md Anderson Cancer Center,1
541,2018,Banner Md Anderson Cancer Center,1
540,2018,Austin Health,1
255,2017,Augusta University,1
539,2018,Augusta University,1
1158,2020,Augusta University,1
1966,2023,Atrium Health,1
1739,2022,Ascension St. Vincent Hospital,1
837,2019,Asahi General Hospital,1
538,2018,Arkansas Children'S Hospital,1
1157,2020,Arkansas Children'S Hospital,1
7,2016,Ariadne Labs,1
537,2018,Ariadne Labs,1
836,2019,Ariadne Labs,1
254,2017,Anne Arundel Medical Center,1
536,2018,Anne Arundel Medical Center,1
1487,2021,Anne Arundel Medical Center,1
835,2019,Ann Arbor Va Healthcare System,1
253,2017,Ann And Robert H. Lurie Children'S Hospital Of Chicago,1
834,2019,Ann And Robert H. Lurie Children'S Hospital Of Chicago,1
1737,2022,Ann And Robert H. Lurie Children'S Hospital,1
252,2017,Ann & Robert H. Lurie Children'S Hospital Of Chicago,1
832,2019,Ann & Robert H. Lurie Children'S Hospital Of Chicago,1
1486,2021,Ann & Robert H. Lurie Children'S Hospital Of Chicago,1
534,2018,Ann & Robert H. Lurie Children'S Hospital,1
831,2019,Ann & Robert H. Lurie Children'S Hospital,1
1736,2022,Ann & Robert H Lurie Children'S,1
1963,2023,Ankara Yildirim Beyazit University,1
533,2018,American College Of Surgeons,1
1962,2023,American College Of Surgeons,1
532,2018,American Board Of Surgery,1
531,2018,Allies For Health,1
829,2019,Allegheny Health Network Cancer Institute,1
249,2017,Allegheny General Hospital,1
530,2018,Allegheny General Hospital,1
828,2019,Allegheny General Hospital,1
1484,2021,Alfred Health,1
1960,2023,Albert Einstein College Of Medicine,1
247,2017,Albany Medical College,1
826,2019,Albany Medical College,1
825,2019,Alabama College Of Osteopathic Medicine,1
1958,2023,Akron General Medical Center,1
1149,2020,Aichi Cancer Center,1
246,2017,Ahmadu Bello University,1
1481,2021,Ahmadu Bello University,1
1,2016,Affiliated Zhongda Hospital,1
823,2019,Advocate Lutheran General Hospital,1
1147,2020,Adventhealth Tampa,1
1479,2021,Adventhealth Tampa,1
1956,2023,Adventhealth Orlando,1
1145,2020,Adventhealth Cancer Institute,1
1731,2022,Addis Ababa University,1
1730,2022,Acclivus Inc. Chicago,1
244,2017,Academic Medical Center,1
0,2016,Abington Memorial Hospital,1
243,2017,Abington Memorial Hospital,1
1478,2021,Abington Memorial Hospital,1
242,2017,Abington Jefferson Health,1
820,2019,Abington Jefferson Health,1
819,2019,Abilene Christian University,1
524,2018,Aberdeen Royal Infirmary,1
1477,2021,A.T. Still University,1
