,smart_institution3,smart_institution2,count,total_count,smart_institution4
1514,Va Northern California Health Care System,Va Northern California Health Care System,1,1,
1513,Va North Texas Health Care System,Va North Texas Health Care System,1,1,
1512,Va New York Harbor Healthcare System,Va New York Harbor Healthcare System,1,1,
1511,Va New Jersey Healthcare System,Va New Jersey Healthcare System,1,1,
1510,Uw Health,Uw Health,1,1,
1509,Uvm Medical Center,Uvm Medical Center,1,1,
1508,Utrgv School Of Medicine,Utrgv School Of Medicine,1,1,
1507,Utmb,Utmb,1,1,
1506,Uthsc Com Chattanooga,Uthsc Com Chattanooga,1,1,
1504,Ut Health San Antonio,Ut Health San Antonio,1,1,
1498,Upmc Children'S Hospital Of Pittsburgh,Upmc Children'S Hospital Of Pittsburgh,1,1,Children'S Hospital Of Pittsburgh Of Upmc
1494,University Radiology At Robert Wood Johnson,University Radiology At Robert Wood Johnson,1,1,
1493,University Of Wiscosin,University Of Wiscosin,1,1,
1476,University Of Vermont Larner College Of Medicine,University Of Vermont Larner College Of Medicine,1,1,
1457,University Of Texas Southwestern Medical Center At Dallas,University Of Texas Southwestern Medical Center At Dallas,1,1,University Of Texas Southwestern Medical Center
1453,University Of Texas Southwestern - Austin,University Of Texas Southwestern - Austin,1,1,
1450,University Of Texas Medical School At Houston,University Of Texas Medical School At Houston,1,1,
1437,University Of Texas Health San Antonio,University Of Texas Health San Antonio,1,1,
1432,University Of Tennessee Medical Canter At Knoxville,University Of Tennessee Medical Canter At Knoxville,1,1,
1420,University Of Tennesse Health Sciences,University Of Tennesse Health Sciences,1,1,
1419,University Of Szeged,University Of Szeged,1,1,
1415,University Of South Florida Morsani College Of Medicine,University Of South Florida Morsani College Of Medicine,1,1,University Of South Florida College Of Medicine
1408,University Of South Dakota,University Of South Dakota,1,1,
1407,University Of South Alabama College Of Medicine,University Of South Alabama College Of Medicine,1,1,University Of South Alabama
1404,University Of Sao Paulo,University Of Sao Paulo,1,1,
1398,University Of Port Harcourt,University Of Port Harcourt,1,1,
1391,University Of Pennsylvania Health System,University Of Pennsylvania Health System,1,1,Hospital Of The University Of Pennsylvania
1390,University Of Pennsvlvania,University Of Pennsvlvania,1,1,Hospital Of The University Of Pennsylvania
1389,University Of Oxford,University Of Oxford,1,1,
1387,University Of Otago,University Of Otago,1,1,
1382,University Of Oklahoma - Tulsa,University Of Oklahoma - Tulsa,1,1,
1381,University Of North Dakota School Of Medicine And Health Sciences,University Of North Dakota School Of Medicine And Health Sciences,1,1,
1380,University Of North Dakota,University Of North Dakota,1,1,
1376,University Of Nigeria,University Of Nigeria,1,1,
1365,University Of Modena And Reggio Emilia,University Of Modena And Reggio Emilia,1,1,
1350,University Of Miami Miller School Of Medicine/ Jackson Memorial Hospital,University Of Miami Miller School Of Medicine/ Jackson Memorial Hospital,1,1,University Of Miami
1341,University Of Medicine And Dentistry Of New Jersey,University Of Medicine And Dentistry Of New Jersey,1,1,
1333,University Of Manitoba,University Of Manitoba,1,1,
1329,University Of Kansas School Of Medicine,University Of Kansas School Of Medicine,1,1,
1328,University Of Kansas Health System,University Of Kansas Health System,1,1,
1323,University Of Illinois College Of Medicine Rockford,University Of Illinois College Of Medicine Rockford,1,1,
1322,University Of Illinois College Of Medicine At Peoria,University Of Illinois College Of Medicine At Peoria,1,1,
1321,University Of Illinois College Of Medicine - Peoria,University Of Illinois College Of Medicine - Peoria,1,1,
1303,University Of Flordia College Of Medicine,University Of Flordia College Of Medicine,1,1,
1302,University Of Edinburgh,University Of Edinburgh,1,1,
1301,University Of Connecticut School Of Medicine,University Of Connecticut School Of Medicine,1,1,
1300,University Of Colorado School Of Medicine - Children'S Hospital Colorado,University Of Colorado School Of Medicine - Children'S Hospital Colorado,1,1,Children'S Hospital Colorado
1287,University Of Cincinnati Medical College,University Of Cincinnati Medical College,1,1,
1274,University Of Central Florida/Hospital Corporation Of America,University Of Central Florida/Hospital Corporation Of America,1,1,
1273,University Of Central Florida/Hca Healthcare Gme Consortium,University Of Central Florida/Hca Healthcare Gme Consortium,1,1,
1272,University Of Central Florida/Hca Consortium Ocala,University Of Central Florida/Hca Consortium Ocala,1,1,
1269,University Of Cape Town,University Of Cape Town,1,1,
1265,University Of California San Francsco - East Bay,University Of California San Francsco - East Bay,1,1,
1245,University Of California - Berkeley,University Of California - Berkeley,1,1,
1213,University Of Abuja-Teaching Hospital,University Of Abuja-Teaching Hospital,1,1,
1212,University Hospitials,University Hospitials,1,1,
1205,University Hospital Limerick,University Hospital Limerick,1,1,
1204,University Hospital Ibn Sina Um5,University Hospital Ibn Sina Um5,1,1,
1200,Universit Degli Studi Di Salerno,Universit Degli Studi Di Salerno,1,1,
1197,Universide Do Estado Do Amazonas,Universide Do Estado Do Amazonas,1,1,
1193,Universidade Estadual Do Amazonas,Universidade Estadual Do Amazonas,1,1,
1192,Universidad Peruana Cayetano Heredia,Universidad Peruana Cayetano Heredia,1,1,
1191,Universidad Industrial De Santander,Universidad Industrial De Santander,1,1,
1190,Universidad Del Rosario,Universidad Del Rosario,1,1,
1189,Universidad Del Azuay,Universidad Del Azuay,1,1,
1187,Universidad Catlica Argentina,Universidad Catlica Argentina,1,1,
1186,Universidad Anahuac Mexico,Universidad Anahuac Mexico,1,1,
1185,Unitypoint Health,Unitypoint Health,1,1,
1184,United States Air Force,United States Air Force,1,1,
1180,Unc Project,Unc Project,1,1,University Of North Carolina At Chapel Hill
1179,Uf Health Shands Hospital,Uf Health Shands Hospital,1,1,
1178,Ucsf-East Bay,Ucsf-East Bay,1,1,
1174,Ucla Fielding School Of Public Health,Ucla Fielding School Of Public Health,1,1,
1170,Uc Riverside,Uc Riverside,1,1,
1168,Uab Heersink School Of Medicine,Uab Heersink School Of Medicine,1,1,University Of Alabama At Birmingham
1157,Tsinghua University,Tsinghua University,1,1,
1156,Tripler Army Medical Center,Tripler Army Medical Center,1,1,
1155,Trinity College Dublin,Trinity College Dublin,1,1,
1154,Touro University,Touro University,1,1,
1153,Toronto Western Hospital,Toronto Western Hospital,1,1,
1152,Toranomon Hospital,Toranomon Hospital,1,1,
1151,Tokyo Metropolitan Cancer And Infectious Diseases Center Komagome Hospital,Tokyo Metropolitan Cancer And Infectious Diseases Center Komagome Hospital,1,1,
1143,The Warren Alpert Medical School,The Warren Alpert Medical School,1,1,
1142,The University Of Vermont Medical Center,The University Of Vermont Medical Center,1,1,
1141,The University Of Tokyo,The University Of Tokyo,1,1,
1140,The University Of Texas Rio Grande Valley,The University Of Texas Rio Grande Valley,1,1,
1133,The University Of North Carolina At Chapel Hill,The University Of North Carolina At Chapel Hill,1,1,
1132,The University Of North Carolina,The University Of North Carolina,1,1,
1131,The University Of Melbourne,The University Of Melbourne,1,1,
1128,The Royal Wolverhampton Hospitals Nhs Trust,The Royal Wolverhampton Hospitals Nhs Trust,1,1,
1127,The Royal Marsden Nhs Foundation Trust,The Royal Marsden Nhs Foundation Trust,1,1,
1126,The Research Institute At Nationwide Children'S Hospital,The Research Institute At Nationwide Children'S Hospital,1,1,
1125,The Princess Alexandra Hospital Nhs Trust,The Princess Alexandra Hospital Nhs Trust,1,1,
1122,The Medical Center Navicent Health,The Medical Center Navicent Health,1,1,
1116,The Jackson Laboratory For Genomic Medicine,The Jackson Laboratory For Genomic Medicine,1,1,
1113,The Geneva Foundation,The Geneva Foundation,1,1,
1110,The Feinstein Institute For Medical Research At Northwell Health,The Feinstein Institute For Medical Research At Northwell Health,1,1,
1102,The Curtis National Hand Center,The Curtis National Hand Center,1,1,
1099,The Center For Surgery And Health Economics,The Center For Surgery And Health Economics,1,1,
1098,The Burn Center,The Burn Center,1,1,
1095,The Austin Hospital,The Austin Hospital,1,1,
1086,Texas Tech University School Of Medicine,Texas Tech University School Of Medicine,1,1,
1074,Texas Tech Univeristy Health Science Center,Texas Tech Univeristy Health Science Center,1,1,
1072,Texas Childrens Hospital & Baylor College Of Medicine,Texas Childrens Hospital & Baylor College Of Medicine,1,1,Baylor College Of Medicine & Texas Children'S Hospital
1069,Texas Children'S Fetal Center,Texas Children'S Fetal Center,1,1,
1061,Teikyo University Hospital Trauma And Resuscitation Center,Teikyo University Hospital Trauma And Resuscitation Center,1,1,
1060,Tawam Hospital,Tawam Hospital,1,1,
1059,Targeted And Biological Therapies Group,Targeted And Biological Therapies Group,1,1,
1058,Taipei Medical University - Shuang Ho Hospital,Taipei Medical University - Shuang Ho Hospital,1,1,
1057,Synvesta Vascular Care,Synvesta Vascular Care,1,1,
1056,Sylvester Cancer Center,Sylvester Cancer Center,1,1,
1055,Sustainable Trauma,Sustainable Trauma,1,1,
1054,Surgical Outcomes And Quality Improvement Center (Soqic),Surgical Outcomes And Quality Improvement Center (Soqic),1,1,
1053,Surgical Oncology Program,Surgical Oncology Program,1,1,
1052,Surgeons Overseas (Sos),Surgeons Overseas (Sos),1,1,
1045,Suny Downstate Health Science Center,Suny Downstate Health Science Center,1,1,
1043,Sunnybrook Health Sciences Centre,Sunnybrook Health Sciences Centre,1,1,
1039,Stratus Center For Medical Simulation,Stratus Center For Medical Simulation,1,1,
1033,Steven And Alexandra Cohen Children'S Medical Center,Steven And Alexandra Cohen Children'S Medical Center,1,1,
1031,Staten Island University Hospital-Northwell Health,Staten Island University Hospital-Northwell Health,1,1,
1022,State University Of Haiti,State University Of Haiti,1,1,
1013,St. Peter Specialized Hospital,St. Peter Specialized Hospital,1,1,
1006,St. Luke'S Roosevelt Hospital Center,St. Luke'S Roosevelt Hospital Center,1,1,
1005,St. Luke'S Hospital Plaza- Kansas City,St. Luke'S Hospital Plaza- Kansas City,1,1,
1001,St. Joseph Mercy Ann Arbor,St. Joseph Mercy Ann Arbor,1,1,
998,St Jude Childrens Research Hospital,St Jude Childrens Research Hospital,1,1,
997,St Agnes Hospital,St Agnes Hospital,1,1,
996,Ssm Cardinal Glennon Children'S Hospital,Ssm Cardinal Glennon Children'S Hospital,1,1,
995,Spectrum Health,Spectrum Health,1,1,
993,Southside Hospital / Northwell Health,Southside Hospital / Northwell Health,1,1,
991,Southern Illinois University,Southern Illinois University,1,1,
990,Southern District Health Board,Southern District Health Board,1,1,
989,Southern Arizona Va Health Care System,Southern Arizona Va Health Care System,1,1,
987,South Auckland Clinical School,South Auckland Clinical School,1,1,
986,Soroti Regional Referral Hospital,Soroti Regional Referral Hospital,1,1,
985,Sky Ridge Medical Center,Sky Ridge Medical Center,1,1,
984,Singapore Health Services,Singapore Health Services,1,1,
983,Singapore General Hospital,Singapore General Hospital,1,1,
981,Simpson Querrey Institute For Bionanotechnology,Simpson Querrey Institute For Bionanotechnology,1,1,
978,Shore Regional,Shore Regional,1,1,
977,Shizuoka Children'S Hospital,Shizuoka Children'S Hospital,1,1,
974,Shinshu Medical University,Shinshu Medical University,1,1,
972,Shady Side Academy,Shady Side Academy,1,1,
971,Sentara Healthcare,Sentara Healthcare,1,1,
970,Semmelweis University,Semmelweis University,1,1,
969,Sefako Makgatho Health Sciences University,Sefako Makgatho Health Sciences University,1,1,
968,Second Trial Coordinating Center,Second Trial Coordinating Center,1,1,
964,Scripps Health,Scripps Health,1,1,
962,Sapporo Medical University Hospital,Sapporo Medical University Hospital,1,1,
961,Sapporo Ishiyama Hospital,Sapporo Ishiyama Hospital,1,1,
958,Sandeman Provinical Hospital/Bolan Medical College,Sandeman Provinical Hospital/Bolan Medical College,1,1,
956,San Francisco State University,San Francisco State University,1,1,
955,San Francisco General Hospital And The University Of California,San Francisco General Hospital And The University Of California,1,1,
954,San Antonio Military Medical Center,San Antonio Military Medical Center,1,1,
953,Samford University,Samford University,1,1,
952,Saint Mary'S Hospital,Saint Mary'S Hospital,1,1,
949,Saint James School Of Medicine,Saint James School Of Medicine,1,1,
948,Saint Elizabeth Medical Center,Saint Elizabeth Medical Center,1,1,
947,Saint Boniface Hospital,Saint Boniface Hospital,1,1,
940,Sacramento Va Medical Center,Sacramento Va Medical Center,1,1,
939,Rwj/Barnabas Health Community Medical Center,Rwj/Barnabas Health Community Medical Center,1,1,
937,Rutgers School Of Dental Medicine,Rutgers School Of Dental Medicine,1,1,
936,Rutgers School Of Biomedical Sciences,Rutgers School Of Biomedical Sciences,1,1,
935,Rutgers Rwjms,Rutgers Rwjms,1,1,
921,Russells Hall Hospital,Russells Hall Hospital,1,1,
919,Rush Medical College,Rush Medical College,1,1,
918,Royal Prince Alfred Hospital,Royal Prince Alfred Hospital,1,1,
916,Royal Free Hospital Nhs Foundation Trust,Royal Free Hospital Nhs Foundation Trust,1,1,
908,Robert H. Lurie Comprehensive Cancer Center,Robert H. Lurie Comprehensive Cancer Center,1,1,
907,Riverside University Health System,Riverside University Health System,1,1,
905,Rigshospitalet,Rigshospitalet,1,1,
903,Rhodes College,Rhodes College,1,1,
896,Reid Plastic & Reconstructive Surgery,Reid Plastic & Reconstructive Surgery,1,1,
894,Rainbow Babies And Children'S Hospital,Rainbow Babies And Children'S Hospital,1,1,
893,Rady Children'S Hospital/ Uc San Diego,Rady Children'S Hospital/ Uc San Diego,1,1,
892,Rady Children'S Hospital San Diego,Rady Children'S Hospital San Diego,1,1,
891,Rady Children'S Hospital - San Diego,Rady Children'S Hospital - San Diego,1,1,
890,Rady Children'S Hospital,Rady Children'S Hospital,1,1,
885,Rabin Medical Center,Rabin Medical Center,1,1,
883,Queen Mary,Queen Mary,1,1,
882,Queen Elizabeth Central Hospital,Queen Elizabeth Central Hospital,1,1,
880,Qassim University,Qassim University,1,1,
879,Providence Portland Cancer Center,Providence Portland Cancer Center,1,1,
877,Promedica Health System,Promedica Health System,1,1,
875,Prince Sultan Military Medical City,Prince Sultan Military Medical City,1,1,
874,Prince Of Wales Hospital,Prince Of Wales Hospital,1,1,
868,Price Institute Of Of Surgical Research And The Section Of Colorectal Surgery,Price Institute Of Of Surgical Research And The Section Of Colorectal Surgery,1,1,
867,Physis Group,Physis Group,1,1,
866,Physiotherapy Dept. Health Sciences,Physiotherapy Dept. Health Sciences,1,1,
862,Peter Maccallum Cancer Centre,Peter Maccallum Cancer Centre,1,1,
857,Pennsylvania State University College Of Medicine,Pennsylvania State University College Of Medicine,1,1,
846,Penn State Children'S Hospital,Penn State Children'S Hospital,1,1,
836,Panzi Hospital,Panzi Hospital,1,1,
833,Pacific Northwest University Of Health Sciences,Pacific Northwest University Of Health Sciences,1,1,
831,Ouhsc,Ouhsc,1,1,
830,Osf St. Francis Medical Center,Osf St. Francis Medical Center,1,1,
825,Orlando Health,Orlando Health,1,1,
818,Okinawa Chubu Hospital,Okinawa Chubu Hospital,1,1,
817,Okayama University Graduate School Of Medicine,Okayama University Graduate School Of Medicine,1,1,
811,Ohio University Heritage College Of Osteopathic Medicine,Ohio University Heritage College Of Osteopathic Medicine,1,1,Ohio University
794,Ochsner Lsu Health Sciences Center,Ochsner Lsu Health Sciences Center,1,1,
793,Ochsner Clinic Foundation,Ochsner Clinic Foundation,1,1,
792,Ocala Regional Medical Center,Ocala Regional Medical Center,1,1,
791,Ocala Health,Ocala Health,1,1,
789,Nyu Winthrop Hospital,Nyu Winthrop Hospital,1,1,
788,Nyu Langone Hospital-Brooklyn,Nyu Langone Hospital-Brooklyn,1,1,
787,Nyu Langone Hospital - Long Island,Nyu Langone Hospital - Long Island,1,1,
783,Nyu Grossman School Of Medicine,Nyu Grossman School Of Medicine,1,1,
782,Nyc Health +Hospitals/ Elmhurst,Nyc Health +Hospitals/ Elmhurst,1,1,
778,Noveome Biotherapeutic,Noveome Biotherapeutic,1,1,
777,Nova Southeastern University Dr. Kiran C Patel College Of Allopathic Medicine,Nova Southeastern University Dr. Kiran C Patel College Of Allopathic Medicine,1,1,
776,Nova Southeastern University Dr Kiran C Patel College Of Allopathic Medicine,Nova Southeastern University Dr Kiran C Patel College Of Allopathic Medicine,1,1,
774,Northwestern University- Feinberg School Of Medicine,Northwestern University- Feinberg School Of Medicine,1,1,Northwestern University
773,Northwestern University Feinberg School Of Medicine And Ann & Robert H. Lurie Childrens Hospital Of Chicago,Northwestern University Feinberg School Of Medicine And Ann & Robert H. Lurie Childrens Hospital Of Chicago,1,1,
770,Northwestern Memorial Hospital,Northwestern Memorial Hospital,1,1,
769,Northwell Northshore/Long Island Jewish,Northwell Northshore/Long Island Jewish,1,1,
766,Northwell Health System - Long Island Jewish Medical Center,Northwell Health System - Long Island Jewish Medical Center,1,1,
765,Northwell Health System,Northwell Health System,1,1,
764,Northwell Health North Shore/Long Island Jewish Hospital,Northwell Health North Shore/Long Island Jewish Hospital,1,1,
761,Northwell - Staten Island University Hospital,Northwell - Staten Island University Hospital,1,1,
760,Northwell,Northwell,1,1,
757,Northernontario School Of Medicne,Northernontario School Of Medicne,1,1,
756,Northern Ontario School Of Medicine(Nosm) University,Northern Ontario School Of Medicine(Nosm) University,1,1,
754,North Shore University Hospital And Long Island Jewish Medical Center,North Shore University Hospital And Long Island Jewish Medical Center,1,1,
752,North Florida/South Georgia Veterans Health System,North Florida/South Georgia Veterans Health System,1,1,
742,Newyork-Presbyterian Hospital/Weill Cornell Medical Center,Newyork-Presbyterian Hospital/Weill Cornell Medical Center,1,1,
736,New York University Langone Hospital - Long Island,New York University Langone Hospital - Long Island,1,1,
735,New York University Langone Health,New York University Langone Health,1,1,
734,New York Presbyterian Hospital - Weill Cornell Medical College,New York Presbyterian Hospital - Weill Cornell Medical College,1,1,
715,Neurological Institute Of Thailand,Neurological Institute Of Thailand,1,1,
714,Nepal Medical College And Teaching Hospital,Nepal Medical College And Teaching Hospital,1,1,
713,Nemours/Alfred I Dupont Hospital For Children,Nemours/Alfred I Dupont Hospital For Children,1,1,
710,Nemours Children'S Health System,Nemours Children'S Health System,1,1,
707,Nemours Alfred I Dupot Hospital For Children,Nemours Alfred I Dupot Hospital For Children,1,1,
706,Nemour'S Children'S Hospital; University Of Central Florida,Nemour'S Children'S Hospital; University Of Central Florida,1,1,
690,Musc,Musc,1,1,
688,Mountain Area Health Education Center,Mountain Area Health Education Center,1,1,
687,Mount Sinai St. Luke'S Roosevelt General Surgery Residency Program,Mount Sinai St. Luke'S Roosevelt General Surgery Residency Program,1,1,
683,Morristown Medical Center,Morristown Medical Center,1,1,
681,Moores Cancer Center,Moores Cancer Center,1,1,
678,Monroe Carell Jr. Childrens Hospital At Vanderbilt,Monroe Carell Jr. Childrens Hospital At Vanderbilt,1,1,
677,Monroe Carell,Monroe Carell,1,1,
676,Monmouth Medical Center,Monmouth Medical Center,1,1,
673,Moi Teaching And Referral Hospital,Moi Teaching And Referral Hospital,1,1,
670,Missouri State University,Missouri State University,1,1,
662,Mgh Institute Of Technological Assessment,Mgh Institute Of Technological Assessment,1,1,Massachusetts General Hospital
659,Metroderm,Metroderm,1,1,
652,Mending Kids,Mending Kids,1,1,
646,Medstar Georgetown University Hospital/Washington Hospital Center,Medstar Georgetown University Hospital/Washington Hospital Center,1,1,
644,Medical College Of Wisconsin & Froedert Hospital,Medical College Of Wisconsin & Froedert Hospital,1,1,Medical College Of Wisconsin
641,Medical College Of Georgia At Augusta University,Medical College Of Georgia At Augusta University,1,1,
638,Mcmaster University,Mcmaster University,1,1,
628,Mccallum Place,Mccallum Place,1,1,
627,Mbarara University Of Science And Technology,Mbarara University Of Science And Technology,1,1,
626,Mayo Medical School,Mayo Medical School,1,1,
625,Mayo Clinic Rochester,Mayo Clinic Rochester,1,1,
623,Mayo Clinic - Rochester,Mayo Clinic - Rochester,1,1,
620,Maulana Azad Medical College,Maulana Azad Medical College,1,1,
619,Matsushima Hospital,Matsushima Hospital,1,1,
618,Mater Infirmorum,Mater Infirmorum,1,1,
617,Mater Adult Brisbane Hospital,Mater Adult Brisbane Hospital,1,1,
613,Mass General Brigham,Mass General Brigham,1,1,Massachusetts General Hospital
612,Mary Bridge Children'S Health Center,Mary Bridge Children'S Health Center,1,1,
606,Marshall University Joan C. Edwards School Of Medicine,Marshall University Joan C. Edwards School Of Medicine,1,1,
605,Marshall Institute For Interdisciplinary Research,Marshall Institute For Interdisciplinary Research,1,1,
603,Marin General Hospital,Marin General Hospital,1,1,
599,Magee-Womens Research Institute,Magee-Womens Research Institute,1,1,
597,Macquarie University,Macquarie University,1,1,
596,Lsuhsc School Of Medicine,Lsuhsc School Of Medicine,1,1,
593,Lsu Health Sciences Center - New Orleans,Lsu Health Sciences Center - New Orleans,1,1,
592,Loyola Universtiy Medical Center,Loyola Universtiy Medical Center,1,1,
589,Loyola University Chicago,Loyola University Chicago,1,1,
582,Louisiana State University Health - Shreveport,Louisiana State University Health - Shreveport,1,1,
581,Louisiana State University (Lsu) Health,Louisiana State University (Lsu) Health,1,1,
576,Lincoln Medical Center,Lincoln Medical Center,1,1,
573,Leiden University Medical Center,Leiden University Medical Center,1,1,
571,Legacy Good Samaritan Medical Center,Legacy Good Samaritan Medical Center,1,1,
570,Lebanon Valley College,Lebanon Valley College,1,1,
568,Latin American School Of Medicine (Elam),Latin American School Of Medicine (Elam),1,1,
566,Lankenau Medical Center,Lankenau Medical Center,1,1,
563,Lagos University Teaching Hospital,Lagos University Teaching Hospital,1,1,
560,Laboratory For Regenerative Tissue Repair,Laboratory For Regenerative Tissue Repair,1,1,
555,Kyoto University,Kyoto University,1,1,
549,King'S Mill Hospital,King'S Mill Hospital,1,1,
545,King'S College Hospital Nhs Foundation Trust,King'S College Hospital Nhs Foundation Trust,1,1,
544,King George'S Medical University (Kgmu),King George'S Medical University (Kgmu),1,1,
538,King Chulalongkorn Memorial Hospital,King Chulalongkorn Memorial Hospital,1,1,
537,Kinan Hospita,Kinan Hospita,1,1,
536,Kidsor,Kidsor,1,1,
535,Kibungo Referral Hospital,Kibungo Referral Hospital,1,1,
530,Keio Universiry,Keio Universiry,1,1,
529,Keck School Of Medicine Of The University Of Southern California,Keck School Of Medicine Of The University Of Southern California,1,1,
525,Keck Medical Center Of University Of Southern California,Keck Medical Center Of University Of Southern California,1,1,
522,Kashiwa Kosei General Hospital,Kashiwa Kosei General Hospital,1,1,
521,Karolinska Institutet,Karolinska Institutet,1,1,
520,Karmanos Cancer Institute,Karmanos Cancer Institute,1,1,
519,Kamuzu Central Hospital,Kamuzu Central Hospital,1,1,
518,Kampala International University Western Campus,Kampala International University Western Campus,1,1,
517,Kagoshima University,Kagoshima University,1,1,
511,Johns Hopkins Surgery Center For Outcomes Research,Johns Hopkins Surgery Center For Outcomes Research,1,1,Johns Hopkins University School Of Medicine
510,Johns Hopkins Medicine International,Johns Hopkins Medicine International,1,1,Johns Hopkins University School Of Medicine
505,Johns Hopkins Bayview Medical Centre,Johns Hopkins Bayview Medical Centre,1,1,Johns Hopkins University School Of Medicine
502,John Wayne Cancer Institute/Providence St. John'S Medical Center,John Wayne Cancer Institute/Providence St. John'S Medical Center,1,1,
497,John D. Dingell Va Medical Center,John D. Dingell Va Medical Center,1,1,
496,Joe Dimaggio Children'S Hospital,Joe Dimaggio Children'S Hospital,1,1,
495,Jesse Brown Va Medical Center,Jesse Brown Va Medical Center,1,1,
494,Jellison Cancer Institute/Florida State University College Of Medicine,Jellison Cancer Institute/Florida State University College Of Medicine,1,1,
493,Jellison Cancer Institute/ Florida State University College Of Medicine,Jellison Cancer Institute/ Florida State University College Of Medicine,1,1,
492,Jellison Cancer Institute/ Florida State University,Jellison Cancer Institute/ Florida State University,1,1,
490,Jefferson Pancreatic,Jefferson Pancreatic,1,1,
489,Japanese Red Cross Maebashi Hospital,Japanese Red Cross Maebashi Hospital,1,1,
488,Jamaica Hospital Medical Center,Jamaica Hospital Medical Center,1,1,
487,Jaber Alahmad Alsabah Hospital,Jaber Alahmad Alsabah Hospital,1,1,
484,International Rescue Committee,International Rescue Committee,1,1,
476,Institute Of Medical Science,Institute Of Medical Science,1,1,
475,Institute Of Clinical Medicine,Institute Of Clinical Medicine,1,1,
470,Imperial College Trust,Imperial College Trust,1,1,
467,Imperial College Healthcare Nhs Trust,Imperial College Healthcare Nhs Trust,1,1,
466,Ichihara Hospital,Ichihara Hospital,1,1,
465,Icahn School Of Medecine At Mount Sinai,Icahn School Of Medecine At Mount Sinai,1,1,
459,Huntington Hospital/Northwell Health,Huntington Hospital/Northwell Health,1,1,
458,Hunter New England Local Health District,Hunter New England Local Health District,1,1,
457,Hunter New England Health,Hunter New England Health,1,1,
453,Howard Hughes Medical Institute,Howard Hughes Medical Institute,1,1,
446,Hospital Universitario Calixto Garca,Hospital Universitario Calixto Garca,1,1,
445,Hospital Pedro De Bethancourt,Hospital Pedro De Bethancourt,1,1,
440,Hospital For Sick Children,Hospital For Sick Children,1,1,
439,Hospital Episcopal San Lucas,Hospital Episcopal San Lucas,1,1,
438,Hopital Universitaire De Mirebalais,Hopital Universitaire De Mirebalais,1,1,
437,Honorary,Honorary,1,1,
433,Hokkaido University,Hokkaido University,1,1,
432,Hoftstra Northwell School Of Medicine,Hoftstra Northwell School Of Medicine,1,1,
429,Hofstra North Shore Lij School Of Medicine,Hofstra North Shore Lij School Of Medicine,1,1,
428,Hiroshima University,Hiroshima University,1,1,
427,Highland Hospital,Highland Hospital,1,1,
426,Hepatobiliary And Pancreatic Unit Hospital Pablo Tob=N Uribe (Hptu) <Sup>2</Sup>Liver Transplant Program Hptu  Universidad De Antioquia (Udea) <Sup>3</Sup>Gastrohepatology Group Udea  Epidemiology Group Universidad Ces,Hepatobiliary And Pancreatic Unit Hospital Pablo Tob=N Uribe (Hptu) <Sup>2</Sup>Liver Transplant Program Hptu  Universidad De Antioquia (Udea) <Sup>3</Sup>Gastrohepatology Group Udea  Epidemiology Group Universidad Ces,1,1,
421,Hca Medical City Arlington,Hca Medical City Arlington,1,1,
417,Hatton Research Institute,Hatton Research Institute,1,1,
411,Harvard Business School,Harvard Business School,1,1,
409,Harlem Hospital,Harlem Hospital,1,1,
394,Guobin Chen,Guobin Chen,1,1,
393,Gunma University Graduate School Of Medicine,Gunma University Graduate School Of Medicine,1,1,
392,Gundersen Health System,Gundersen Health System,1,1,
390,Guangdong Hospital Of Traditional Chinese Medicine,Guangdong Hospital Of Traditional Chinese Medicine,1,1,
388,Groote Schuur Hospital,Groote Schuur Hospital,1,1,
387,Griffith University,Griffith University,1,1,
386,Greater Los Angeles Veterans Administration Healthcare System,Greater Los Angeles Veterans Administration Healthcare System,1,1,
385,Great Ormond Street Institute Of Child Health,Great Ormond Street Institute Of Child Health,1,1,
384,Grant Medical Center/Ohio University Heritage College Of Medicine,Grant Medical Center/Ohio University Heritage College Of Medicine,1,1,Ohio University
382,Grady Health System,Grady Health System,1,1,
381,Graduate Institute Of Anatomy And Cell Biology,Graduate Institute Of Anatomy And Cell Biology,1,1,
380,Goshen Center For Cancer Care,Goshen Center For Cancer Care,1,1,
379,Glasgow Royal Infirmary,Glasgow Royal Infirmary,1,1,
378,Georgia Trauma Commission,Georgia Trauma Commission,1,1,
368,George Mason University,George Mason University,1,1,
367,General University Hospital Gregorio Maran,General University Hospital Gregorio Maran,1,1,
356,G4 Alliance,G4 Alliance,1,1,
355,Fuwai Hospital,Fuwai Hospital,1,1,
354,Fukushima Medical University School Of Medicine,Fukushima Medical University School Of Medicine,1,1,
348,Fordham University,Fordham University,1,1,
347,Forbes Regional Hospital,Forbes Regional Hospital,1,1,
346,Florida State Universty,Florida State Universty,1,1,
343,Florida State,Florida State,1,1,
337,Feinstein Institute For Molecular Medicine,Feinstein Institute For Molecular Medicine,1,1,
334,Federal University Of Rio Grande Do Norte (Ufrn),Federal University Of Rio Grande Do Norte (Ufrn),1,1,
328,Federal Medical Centre Abuja,Federal Medical Centre Abuja,1,1,
325,Faculty Of Medical Sciences,Faculty Of Medical Sciences,1,1,
322,Epsom And St Helier University Hospitals Nhs Trust,Epsom And St Helier University Hospitals Nhs Trust,1,1,
321,Envision Healthcare,Envision Healthcare,1,1,
316,Emory University Rollins School Of Public Health,Emory University Rollins School Of Public Health,1,1,
